GT22-031;;1;6 393,00;1
GT22-034;;2;7 640,00;1
GT22-036;;4;6 861,00;
GT22-036-1;;1;5 769,00;1
GT22-037;;5;7 484,00;1
GT22-038;;1;7 173,00;
GT22-042;;1;9 044,00;1
GT22-043R;Старое GT22-044;2;7 796,00;1
GT22-045;;1;7 952,00;1
GT22-046;;1;8 108,00;
GT22-048;Старое GT22-006;1;6 549,00;1
GT22-049;;5;5 925,00;1
GT22-050;;1;7 952,00;
GT22-053R;;1;7 173,00;1
GT22-054R;;1;7 173,00;1
GT22-080;;3;7 796,00;1
GT22-081;;3;7 796,00;1
GT22-088;;1;8 264,00;1
GT22-089;;4;7 484,00;
GT22-118R;;3;7 796,00;
GT22-119R;;1;7 796,00;
GT23-002;;2;6 237,00;1
GT23-003;;1;6 393,00;1
GT23-004;;7;6 705,00;1
GT23-006;gt23-001;3;7 796,00;1
GT25-000;;1;6 705,00;1
GT25-002;;3;6 393,00;1
GT25-005;;3;5 301,00;1
GT25-006;GT25-021;4;5 301,00;1
GT25-011;;2;8 732,00;
GT25-013;;2;6 081,00;1
GT25-018;;1;5 613,00;1
GT25-028;;2;6 393,00;1
GT25-054BR;;1;9 200,00;1
GT32-004;;6;8 108,00;
GT32-014;;1;7 640,00;1
GT32-019-1;;2;9 044,00;
GT32-019-2;;1;9 667,00;1
GT32-023;;1;8 732,00;1
GT35-003;;1;10 291,00;1
GT37-036;;4;14 189,00;1
GT40-020;;1;13 254,00;1
GT40-028-3;;1;22 609,00;1
GT40-035;;7;8 108,00;
GT42-001;;1;10 135,00;
GT42-002;;1;10 291,00;
GT42-019B;;1;14 033,00;1
GT42-022;;1;10 759,00;
GTA-000;;1;30 873,00;
GTA-006;;1;14 345,00;
GTA-007;;1;22 921,00;
GTA-012;;1;9 823,00;1
GTA-015;;1;24 948,00;1
GTA-018;Старое GT42-018;1;13 254,00;1
GTR-039BG;;4;16 372,00;1
HE-008;;4;5 613,00;1
HE-009;;2;5 925,00;1
HE-010;;1;5 301,00;1
HE-012;;1;7 484,00;1
HE-019B;;1;21 830,00;1
HE-039B;;3;6 549,00;1
HE-040;;1;6 081,00;1
HE4-025B;;2;46 778,00;1
HE4-048;;1;38 202,00;
HE5-007;;1;16 996,00;
HE5-008;;1;12 630,00;1
HE5-009;;1;12 786,00;
HE5-018;;2;12 630,00;1
HE5-019B;;1;17 464,00;
HTB-002R;;1;15 748,00;
HTB-008R;;1;17 775,00;1
HX-001;;1;7 328,00;1
HX-002;аналог hx-013;1;7 796,00;1
HX-003;;1;7 484,00;1
HX-004;;1;7 328,00;1
HX-005;;1;7 017,00;1
HX-007;;1;7 484,00;1
HX-009;;1;7 173,00;1
HX-013;аналог hx-002;1;7 640,00;1
HX-014;;1;7 173,00;1
HX-026;;1;7 328,00;1
HX-053;;1;8 576,00;
HX-056;;2;7 640,00;
HX-057;;2;7 173,00;1
HX-068B;;2;15 125,00;
HX-079B;;1;10 291,00;1
HX-092;;2;7 328,00;1
HX-104;;1;7 952,00;1
HX-179-C;;8;8 108,00;
HX25-001;;2;5 146,00;1
HX5-000B;;2;13 410,00;1
HX5-000-C;;1;11 850,00;
HX5-001;;1;10 447,00;
HX5-002;;1;11 538,00;1
HX5-003;;1;12 162,00;1
HX5-008;;1;11 383,00;1
HX5-011;;2;12 006,00;1
HX5-014;;1;12 006,00;1
HX5-018B;;1;13 254,00;1
HX5-042B;;1;13 098,00;1
HX5-057;;1;10 135,00;1
HX5-059;;1;11 227,00;1
HX5-081;3597659;2;10 603,00;1
HX5-089;;2;11 383,00;1
HY40-004B;;1;38 046,00;1
HY55-002;;2;37 734,00;1
