R2S-018-L;;4;12 478,00;;;
R2S-021-L;;2;6 792,00;;;
R2S-028-HB;;2;6 160,00;;;
R2S-035-1-LB;;1;7 898,00;;;
RHF3-025;;1;7 424,00;;;
RHF3-030;;1;7 108,00;;;
RHF3-054-С;;1;10 425,00;;;
RHF3-054B;;1;8 687,00;;;
RHF3-078B;;2;7 266,00;;;
RHF4-004;;1;8 371,00;;;
RHF4-007;;1;6 318,00;;;
RHF4-018;;2;6 318,00;;;
RHF4-021;;1;6 634,00;;;
RHF4-026;;1;7 108,00;;;
RHF4-032;;1;6 318,00;;;
RHF4-040;;1;8 055,00;;;
RHF4-077;;3;7 740,00;;;
RHF4-078;;1;7 898,00;;;
RHF4-094B;;1;8 213,00;;;
RHF4-109;;1;7 266,00;;;
RHF5-002;;2;7 266,00;;;
RHF5-017;;3;6 950,00;;;
RHF5-020;;1;7 266,00;;;
RHF5-023;;1;8 845,00;;;
RHF5-024-1;;2;7 582,00;;;
RHF5-037;;2;6 792,00;;;
RHF5-055;Старое RHF5-051;1;7 424,00;;;
RHF5-065;;1;6 792,00;;;
RHF5-081;;2;7 266,00;;;
